Warning: {
	Model use is disabled for direction type. Direction types ORTHO N+1 QUAD are changed to ORTHO N+1 NEG.
} 
Warning: {
	Model use is disabled for problem with categorical variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	765	(	3 0 2289.0388568242 2 2149.0499575933 1 5556.1277468999 )	44.5510947888
	767	(	3 0 2269.5076068242 2 2169.5577700933 1 5556.1277468999 )	44.5465737819
	784	(	3 0 2264.6247943242 2 2175.2340396245 1 5557.5925906499 )	44.5276297554
	796	(	3 0 2273.2917865117 2 2165.5904849370 1 5560.6443484624 )	44.5055850593
	813	(	3 0 2274.8481829961 2 2164.4689639409 1 5560.4307254155 )	44.5034104660
	834	(	3 0 2275.0210364660 2 2164.4659837087 1 5560.2674086889 )	44.5034052427
	835	(	3 0 2275.5395968755 2 2164.4570430120 1 5559.7774585088 )	44.5033902072
	836	(	3 0 2277.6138385137 2 2164.4212802251 1 5557.8176577886 )	44.5033395822
	862	(	3 0 2277.6534607013 2 2164.4631375869 1 5557.8362171849 )	44.5024545924
	873	(	3 0 2277.6720200976 2 2164.4260187944 1 5557.8803097208 )	44.5022042698
	894	(	3 0 2277.6736217396 2 2164.4230061987 1 5557.8871012743 )	44.5021534847
	895	(	3 0 2277.6784266656 2 2164.4139684116 1 5557.9074759347 )	44.5020011299
	926	(	3 0 2277.6780656053 2 2164.4142469564 1 5557.9076145962 )	44.5020006491
	935	(	3 0 2277.6777045450 2 2164.4145255012 1 5557.9077532578 )	44.5020001683
	960	(	3 0 2277.6776908533 2 2164.4145515530 1 5557.9077485906 )	44.5020001076
	969	(	3 0 2277.6776771616 2 2164.4145776048 1 5557.9077439234 )	44.5020000469
	998	(	3 0 2277.6776769992 2 2164.4145785171 1 5557.9077440168 )	44.5020000396
	1002	(	3 0 2277.6776755896 2 2164.4145787489 1 5557.9077452120 )	44.5020000391
	1003	(	3 0 2277.6776713610 2 2164.4145794445 1 5557.9077487976 )	44.5020000376
	1004	(	3 0 2277.6776544463 2 2164.4145822268 1 5557.9077631401 )	44.5020000315
	1017	(	3 0 2277.6776526708 2 2164.4145809535 1 5557.9077661574 )	44.5020000304
	1018	(	3 0 2277.6776473443 2 2164.4145771335 1 5557.9077752093 )	44.5020000273
	1019	(	3 0 2277.6776260381 2 2164.4145618536 1 5557.9078114166 )	44.5020000149
	1020	(	3 0 2277.6775408135 2 2164.4145007339 1 5557.9079562458 )	44.5019999651
	1021	(	3 0 2277.6771999150 2 2164.4142562554 1 5557.9085355629 )	44.5019997658
	1022	(	3 0 2277.6758363211 2 2164.4132783412 1 5557.9108528310 )	44.5019989688
	1023	(	3 0 2277.6703819455 2 2164.4093666844 1 5557.9201219037 )	44.5019957810
	1024	(	3 0 2277.6485644429 2 2164.3937200575 1 5557.9571981944 )	44.5019830306
	1025	(	3 0 2277.5612944327 2 2164.3311335495 1 5558.1055033573 )	44.5019320437
	1026	(	3 0 2277.2122143918 2 2164.0807875176 1 5558.6987240086 )	44.5017283345
	1027	(	3 0 2275.8158942282 2 2163.0794033902 1 5561.0716066140 )	44.5009173129
	1028	(	3 0 2270.2306135737 2 2159.0738668804 1 5570.5631370357 )	44.4977343043
	1029	(	3 0 2247.8894909557 2 2143.0517208412 1 5608.5292587223 )	44.4859818339
	1030	(	3 0 2158.5250004840 2 2078.9631366845 1 5760.3937454688 )	44.4547908218
	1033	(	3 0 2158.4825694275 2 2079.0062010404 1 5760.4007788169 )	44.4547489122
	1034	(	3 0 2158.3552762580 2 2079.1353941079 1 5760.4218788611 )	44.4546232606
	1035	(	3 0 2157.8461035800 2 2079.6521663781 1 5760.5062790381 )	44.4541218143
